split,ae_error,if_anomaly,risk_score
train,0.027562069,-0.0933466925063408,0.0
train,0.026198206,-0.0669239406740932,0.01869793527354091
train,0.025307093,-0.0473838507521228,0.07811231474854091
train,0.024163773,-0.049897685287184,0.07046864884936038
train,0.02237811,-0.0609492725187718,0.03686475039235629
train,0.021281421,-0.0792116782438243,0.0
train,0.019945972,-0.0785922363731278,0.0
train,0.019227749,-0.0906606625496762,0.0
train,0.01973304,-0.1026964050712512,0.0
train,0.019550208,-0.0973016772591005,0.0
train,0.018854324,-0.1015697601634937,0.0
train,0.018171914,-0.1027463437591542,0.0
train,0.017426454,-0.1051806931024292,0.0
train,0.016869217,-0.1088582510343527,0.0
train,0.016163362,-0.1103123598818163,0.0
train,0.015342911,-0.1181774311203403,0.0
train,0.014647584,-0.1193546075203947,0.0
train,0.013821221,-0.1243629790993356,0.0
train,0.013110188,-0.1217300646833515,0.0
train,0.013033655,-0.1201709313174013,0.0
train,0.013440096,-0.1165717980238574,0.0
train,0.013524988,-0.1138028129853865,0.0
train,0.013780156,-0.1108940650854788,0.0
train,0.015068312,-0.1016771169393801,0.0
train,0.016397156,-0.0942544653152184,0.0
train,0.016911082,-0.096690728423243,0.0
train,0.016610341,-0.106918424676348,0.0
train,0.01642377,-0.1074009327903822,0.0
train,0.01665165,-0.1040200377850489,0.0
train,0.015869545,-0.1117260906559073,0.0
train,0.015697883,-0.1128705489396019,0.0
train,0.016979136,-0.1133222378769452,0.0
train,0.017668318,-0.1016330064716087,0.0
train,0.017254045,-0.0997805716925114,0.0
train,0.015474005,-0.104515651927421,0.0
train,0.0140574295,-0.1061320172568244,0.0
train,0.014924356,-0.0896417806144168,0.0
train,0.016357556,-0.0594432020542033,0.041444168524785184
train,0.018364025,-0.0514617809759402,0.06571279689790727
train,0.020495974,-0.0535488258531853,0.05936684471379924
train,0.022110436,-0.0565965518792072,0.05009980697912134
train,0.023649901,-0.0719296211492395,0.0034774628771196167
train,0.02501223,-0.0781770318410551,0.0
train,0.025820384,-0.0804037684463048,0.0
train,0.025058227,-0.0734264668906264,0.0
train,0.023283988,-0.0869484312199765,0.0
train,0.021902313,-0.1024868302665594,0.0
train,0.020731565,-0.1062378306353131,0.0
train,0.019446982,-0.1017250585877017,0.0
train,0.018294206,-0.1057286382713577,0.0
train,0.017322518,-0.1110062641132983,0.0
